"YEAR","QUARTER","MONTH","DAY_OF_MONTH","DAY_OF_WEEK","FL_DATE","OP_UNIQUE_CARRIER","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","CRS_DEP_TIME","DEP_TIME","DEP_DELAY","DEP_DELAY_NEW","DEP_DEL15","CANCELLED","DIVERTED","AIR_TIME","DISTANCE","CARRIER_DELAY","WEATHER_DELAY","NAS_DELAY","SECURITY_DELAY","LATE_AIRCRAFT_DELAY",
2018,4,11,17,6,2018-11-17,"AS",10800,1080003,32575,"BUR","Burbank, CA",14747,1474703,30559,"SEA","Seattle, WA","0700","0716",16.00,16.00,1.00,0.00,0.00,129.00,937.00,16.00,0.00,2.00,0.00,0.00,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",13342,1334207,33342,"MKE","Milwaukee, WI","1205","1158",-7.00,0.00,0.00,0.00,0.00,205.00,1694.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",13342,1334207,33342,"MKE","Milwaukee, WI",14747,1474703,30559,"SEA","Seattle, WA","1850","1843",-7.00,0.00,0.00,0.00,0.00,236.00,1694.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",12523,1252306,32523,"JNU","Juneau, AK",14747,1474703,30559,"SEA","Seattle, WA","0530","0521",-9.00,0.00,0.00,0.00,0.00,124.00,909.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14893,1489302,33192,"SMF","Sacramento, CA",14747,1474703,30559,"SEA","Seattle, WA","0600","0601",1.00,1.00,0.00,0.00,0.00,87.00,605.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",10299,1029906,30299,"ANC","Anchorage, AK","2330","2337",7.00,7.00,0.00,0.00,0.00,182.00,1448.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14679,1467903,33570,"SAN","San Diego, CA","0550","0541",-9.00,0.00,0.00,0.00,0.00,132.00,1050.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14122,1412202,30198,"PIT","Pittsburgh, PA","0740","0735",-5.00,0.00,0.00,0.00,0.00,240.00,2125.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14122,1412202,30198,"PIT","Pittsburgh, PA",14747,1474703,30559,"SEA","Seattle, WA","1645","1642",-3.00,0.00,0.00,0.00,0.00,295.00,2125.00,0.00,0.00,16.00,0.00,0.00,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14831,1483106,32457,"SJC","San Jose, CA","0545","0536",-9.00,0.00,0.00,0.00,0.00,100.00,696.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",12892,1289208,32575,"LAX","Los Angeles, CA","0500","0502",2.00,2.00,0.00,0.00,0.00,129.00,954.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14908,1490803,32575,"SNA","Santa Ana, CA",14747,1474703,30559,"SEA","Seattle, WA","1835","1830",-5.00,0.00,0.00,0.00,0.00,136.00,978.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",10713,1071302,30713,"BOI","Boise, ID",14747,1474703,30559,"SEA","Seattle, WA","1415","1413",-2.00,0.00,0.00,0.00,0.00,69.00,399.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14908,1490803,32575,"SNA","Santa Ana, CA","0540","0534",-6.00,0.00,0.00,0.00,0.00,133.00,978.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14771,1477104,32457,"SFO","San Francisco, CA","2135","2129",-6.00,0.00,0.00,0.00,0.00,100.00,679.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",12892,1289208,32575,"LAX","Los Angeles, CA","0825","0934",69.00,69.00,1.00,0.00,0.00,126.00,954.00,35.00,0.00,0.00,0.00,0.00,
2018,4,11,17,6,2018-11-17,"AS",14771,1477104,32457,"SFO","San Francisco, CA",14747,1474703,30559,"SEA","Seattle, WA","0700","0700",0.00,0.00,0.00,0.00,0.00,115.00,679.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14771,1477104,32457,"SFO","San Francisco, CA",14747,1474703,30559,"SEA","Seattle, WA","1600","1557",-3.00,0.00,0.00,0.00,0.00,97.00,679.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14679,1467903,33570,"SAN","San Diego, CA",14747,1474703,30559,"SEA","Seattle, WA","1541","1537",-4.00,0.00,0.00,0.00,0.00,141.00,1050.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14831,1483106,32457,"SJC","San Jose, CA",14747,1474703,30559,"SEA","Seattle, WA","0630","0630",0.00,0.00,0.00,0.00,0.00,109.00,696.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14893,1489302,33192,"SMF","Sacramento, CA","1140","1140",0.00,0.00,0.00,0.00,0.00,79.00,605.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14771,1477104,32457,"SFO","San Francisco, CA","0600","0557",-3.00,0.00,0.00,0.00,0.00,110.00,679.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14831,1483106,32457,"SJC","San Jose, CA","2040","2043",3.00,3.00,0.00,0.00,0.00,105.00,696.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14831,1483106,32457,"SJC","San Jose, CA","0720","0721",1.00,1.00,0.00,0.00,0.00,102.00,696.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",12266,1226603,31453,"IAH","Houston, TX",14747,1474703,30559,"SEA","Seattle, WA","0600","0617",17.00,17.00,1.00,0.00,0.00,266.00,1874.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",12478,1247805,31703,"JFK","New York, NY",14747,1474703,30559,"SEA","Seattle, WA","0735","0738",3.00,3.00,0.00,0.00,0.00,342.00,2422.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",12266,1226603,31453,"IAH","Houston, TX","1155","1155",0.00,0.00,0.00,0.00,0.00,228.00,1874.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",13796,1379608,32457,"OAK","Oakland, CA","0555","0554",-1.00,0.00,0.00,0.00,0.00,95.00,672.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",13796,1379608,32457,"OAK","Oakland, CA",14747,1474703,30559,"SEA","Seattle, WA","0930","0929",-1.00,0.00,0.00,0.00,0.00,102.00,672.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",10713,1071302,30713,"BOI","Boise, ID","1047","1039",-8.00,0.00,0.00,0.00,0.00,59.00,399.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",12478,1247805,31703,"JFK","New York, NY",14747,1474703,30559,"SEA","Seattle, WA","1840","1843",3.00,3.00,0.00,0.00,0.00,336.00,2422.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14893,1489302,33192,"SMF","Sacramento, CA",14747,1474703,30559,"SEA","Seattle, WA","1840","1834",-6.00,0.00,0.00,0.00,0.00,112.00,605.00,0.00,0.00,32.00,0.00,0.00,
2018,4,11,17,6,2018-11-17,"AS",11292,1129202,30325,"DEN","Denver, CO",14747,1474703,30559,"SEA","Seattle, WA","0610","0601",-9.00,0.00,0.00,0.00,0.00,146.00,1024.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",13796,1379608,32457,"OAK","Oakland, CA","1530","1523",-7.00,0.00,0.00,0.00,0.00,98.00,672.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",13796,1379608,32457,"OAK","Oakland, CA",14747,1474703,30559,"SEA","Seattle, WA","1845","1841",-4.00,0.00,0.00,0.00,0.00,106.00,672.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",13796,1379608,32457,"OAK","Oakland, CA","0915","0911",-4.00,0.00,0.00,0.00,0.00,98.00,672.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14262,1426204,34262,"PSP","Palm Springs, CA","1940","1935",-5.00,0.00,0.00,0.00,0.00,132.00,987.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14262,1426204,34262,"PSP","Palm Springs, CA","1558","1558",0.00,0.00,0.00,0.00,0.00,133.00,987.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14057,1405702,34057,"PDX","Portland, OR","0950","0949",-1.00,0.00,0.00,0.00,0.00,32.00,129.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14057,1405702,34057,"PDX","Portland, OR","1745","1746",1.00,1.00,0.00,0.00,0.00,30.00,129.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14831,1483106,32457,"SJC","San Jose, CA",14747,1474703,30559,"SEA","Seattle, WA","1040","1039",-1.00,0.00,0.00,0.00,0.00,112.00,696.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",12889,1288903,32211,"LAS","Las Vegas, NV",14747,1474703,30559,"SEA","Seattle, WA","0610","0607",-3.00,0.00,0.00,0.00,0.00,145.00,867.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",12266,1226603,31453,"IAH","Houston, TX",14747,1474703,30559,"SEA","Seattle, WA","1920","1922",2.00,2.00,0.00,0.00,0.00,243.00,1874.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14908,1490803,32575,"SNA","Santa Ana, CA",14747,1474703,30559,"SEA","Seattle, WA","0955","0941",-14.00,0.00,0.00,0.00,0.00,142.00,978.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14689,1468902,34689,"SBA","Santa Barbara, CA","1005","1005",0.00,0.00,0.00,0.00,0.00,120.00,908.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",10693,1069302,30693,"BNA","Nashville, TN",14747,1474703,30559,"SEA","Seattle, WA","1715","1700",-15.00,0.00,0.00,0.00,0.00,268.00,1978.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14057,1405702,34057,"PDX","Portland, OR",14747,1474703,30559,"SEA","Seattle, WA","0600","0552",-8.00,0.00,0.00,0.00,0.00,29.00,129.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",12892,1289208,32575,"LAX","Los Angeles, CA","1400","1348",-12.00,0.00,0.00,0.00,0.00,126.00,954.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",10666,1066602,30666,"BLI","Bellingham, WA","2135","2152",17.00,17.00,1.00,0.00,0.00,24.00,93.00,17.00,0.00,4.00,0.00,0.00,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",12478,1247805,31703,"JFK","New York, NY","0735","0728",-7.00,0.00,0.00,0.00,0.00,281.00,2422.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14689,1468902,34689,"SBA","Santa Barbara, CA",14747,1474703,30559,"SEA","Seattle, WA","1335","1326",-9.00,0.00,0.00,0.00,0.00,134.00,908.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14831,1483106,32457,"SJC","San Jose, CA",14747,1474703,30559,"SEA","Seattle, WA","1650","1658",8.00,8.00,0.00,0.00,0.00,103.00,696.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",12892,1289208,32575,"LAX","Los Angeles, CA",14747,1474703,30559,"SEA","Seattle, WA","1540","1538",-2.00,0.00,0.00,0.00,0.00,131.00,954.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",11292,1129202,30325,"DEN","Denver, CO",14747,1474703,30559,"SEA","Seattle, WA","1825","1842",17.00,17.00,1.00,0.00,0.00,143.00,1024.00,8.00,0.00,34.00,0.00,9.00,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",12892,1289208,32575,"LAX","Los Angeles, CA","1940","2049",69.00,69.00,1.00,0.00,0.00,125.00,954.00,3.00,0.00,0.00,0.00,56.00,
2018,4,11,17,6,2018-11-17,"AS",12892,1289208,32575,"LAX","Los Angeles, CA",14747,1474703,30559,"SEA","Seattle, WA","2335","0031",56.00,56.00,1.00,0.00,0.00,131.00,954.00,0.00,0.00,0.00,0.00,35.00,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",12892,1289208,32575,"LAX","Los Angeles, CA","0700","0651",-9.00,0.00,0.00,0.00,0.00,127.00,954.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14679,1467903,33570,"SAN","San Diego, CA",14747,1474703,30559,"SEA","Seattle, WA","1735","1724",-11.00,0.00,0.00,0.00,0.00,142.00,1050.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",13891,1389101,32575,"ONT","Ontario, CA","1355","1349",-6.00,0.00,0.00,0.00,0.00,125.00,956.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",12892,1289208,32575,"LAX","Los Angeles, CA",14747,1474703,30559,"SEA","Seattle, WA","1934","1932",-2.00,0.00,0.00,0.00,0.00,133.00,954.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14893,1489302,33192,"SMF","Sacramento, CA",14747,1474703,30559,"SEA","Seattle, WA","1440","1500",20.00,20.00,1.00,0.00,0.00,90.00,605.00,0.00,0.00,20.00,0.00,0.00,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",13198,1319801,33198,"MCI","Kansas City, MO","0950","0951",1.00,1.00,0.00,0.00,0.00,182.00,1489.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",13891,1389101,32575,"ONT","Ontario, CA",14747,1474703,30559,"SEA","Seattle, WA","1735","1723",-12.00,0.00,0.00,0.00,0.00,130.00,956.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14679,1467903,33570,"SAN","San Diego, CA","2010","2000",-10.00,0.00,0.00,0.00,0.00,138.00,1050.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14747,1474703,30559,"SEA","Seattle, WA",14683,1468305,33214,"SAT","San Antonio, TX","1151","1150",-1.00,0.00,0.00,0.00,0.00,202.00,1774.00,,,,,,
2018,4,11,17,6,2018-11-17,"AS",14057,1405702,34057,"PDX","Portland, OR",14747,1474703,30559,"SEA","Seattle, WA","2055","2055",0.00,0.00,0.00,0.00,0.00,29.00,129.00,,,,,,
